23:58:26 | Метео-New | Нет данных
1:38:26 | Метео-New | Нет данных
1:39:26 | Метео-New | Нет данных
1:40:26 | Метео-New | Нет данных
1:41:26 | Метео-New | Нет данных
1:42:26 | Метео-New | Нет данных
1:43:26 | Метео-New | Нет данных
1:44:26 | Метео-New | Нет данных
1:45:26 | Метео-New | Нет данных
1:46:26 | Метео-New | Нет данных
1:47:26 | Метео-New | Нет данных
1:48:26 | Метео-New | Нет данных
1:49:26 | Метео-New | Нет данных
1:50:26 | Метео-New | Нет данных
1:51:26 | Метео-New | Нет данных
1:52:26 | Метео-New | Нет данных
1:53:26 | Метео-New | Нет данных
1:54:26 | Метео-New | Нет данных
1:55:26 | Метео-New | Нет данных
1:56:26 | Метео-New | Нет данных
1:57:26 | Метео-New | Нет данных
1:58:26 | Метео-New | Нет данных
1:59:26 | Метео-New | Нет данных
2:00:26 | Метео-New | Нет данных
2:01:26 | Метео-New | Нет данных
2:02:26 | Метео-New | Нет данных
2:03:26 | Метео-New | Нет данных
2:04:26 | Метео-New | Нет данных
2:05:26 | Метео-New | Нет данных
2:06:26 | Метео-New | Нет данных
2:07:26 | Метео-New | Нет данных
2:08:26 | Метео-New | Нет данных
2:09:26 | Метео-New | Нет данных
2:10:26 | Метео-New | Нет данных
2:11:26 | Метео-New | Нет данных
2:12:26 | Метео-New | Нет данных
2:13:26 | Метео-New | Нет данных
2:14:26 | Метео-New | Нет данных
2:15:26 | Метео-New | Нет данных
2:16:26 | Метео-New | Нет данных
2:17:26 | Метео-New | Нет данных
2:18:26 | Метео-New | Нет данных
2:19:26 | Метео-New | Нет данных
2:20:26 | Метео-New | Нет данных
2:21:26 | Метео-New | Нет данных
2:22:26 | Метео-New | Нет данных
2:23:26 | Метео-New | Нет данных
2:24:26 | Метео-New | Нет данных
2:25:26 | Метео-New | Нет данных
2:26:26 | Метео-New | Нет данных
2:27:26 | Метео-New | Нет данных
2:28:26 | Метео-New | Нет данных
2:29:26 | Метео-New | Нет данных
2:30:26 | Метео-New | Нет данных
2:31:26 | Метео-New | Нет данных
2:32:26 | Метео-New | Нет данных
2:33:26 | Метео-New | Нет данных
2:34:26 | Метео-New | Нет данных
2:35:26 | Метео-New | Нет данных
2:36:26 | Метео-New | Нет данных
2:37:26 | Метео-New | Нет данных
2:38:26 | Метео-New | Нет данных
2:39:26 | Метео-New | Нет данных
2:40:26 | Метео-New | Нет данных
2:41:26 | Метео-New | Нет данных
2:42:26 | Метео-New | Нет данных
2:43:26 | Метео-New | Нет данных
2:44:26 | Метео-New | Нет данных
2:45:26 | Метео-New | Нет данных
2:46:26 | Метео-New | Нет данных
2:47:26 | Метео-New | Нет данных
2:48:26 | Метео-New | Нет данных
2:49:26 | Метео-New | Нет данных
2:50:26 | Метео-New | Нет данных
2:51:26 | Метео-New | Нет данных
2:52:26 | Метео-New | Нет данных
2:53:26 | Метео-New | Нет данных
2:54:26 | Метео-New | Нет данных
2:55:26 | Метео-New | Нет данных
2:56:26 | Метео-New | Нет данных
2:57:26 | Метео-New | Нет данных
2:58:26 | Метео-New | Нет данных
2:59:26 | Метео-New | Нет данных
3:00:26 | Метео-New | Нет данных
3:01:26 | Метео-New | Нет данных
3:02:26 | Метео-New | Нет данных
3:03:26 | Метео-New | Нет данных
3:04:26 | Метео-New | Нет данных
3:05:26 | Метео-New | Нет данных
3:06:26 | Метео-New | Нет данных
3:07:26 | Метео-New | Нет данных
3:08:26 | Метео-New | Нет данных
3:09:26 | Метео-New | Нет данных
3:10:26 | Метео-New | Нет данных
3:11:26 | Метео-New | Нет данных
3:12:26 | Метео-New | Нет данных
3:13:26 | Метео-New | Нет данных
3:14:26 | Метео-New | Нет данных
3:15:26 | Метео-New | Нет данных
3:16:26 | Метео-New | Нет данных
3:17:26 | Метео-New | Нет данных
3:18:26 | Метео-New | Нет данных
3:19:26 | Метео-New | Нет данных
3:20:26 | Метео-New | Нет данных
3:21:26 | Метео-New | Нет данных
3:22:26 | Метео-New | Нет данных
3:23:26 | Метео-New | Нет данных
3:24:26 | Метео-New | Нет данных
3:25:26 | Метео-New | Нет данных
3:26:26 | Метео-New | Нет данных
3:27:26 | Метео-New | Нет данных
3:28:26 | Метео-New | Нет данных
3:29:26 | Метео-New | Нет данных
3:30:26 | Метео-New | Нет данных
3:31:26 | Метео-New | Нет данных
3:32:26 | Метео-New | Нет данных
3:33:26 | Метео-New | Нет данных
3:34:26 | Метео-New | Нет данных
3:35:26 | Метео-New | Нет данных
3:36:26 | Метео-New | Нет данных
3:37:26 | Метео-New | Нет данных
3:38:26 | Метео-New | Нет данных
3:39:26 | Метео-New | Нет данных
3:40:26 | Метео-New | Нет данных
3:41:26 | Метео-New | Нет данных
3:42:26 | Метео-New | Нет данных
3:43:26 | Метео-New | Нет данных
3:44:26 | Метео-New | Нет данных
3:45:26 | Метео-New | Нет данных
3:46:26 | Метео-New | Нет данных
3:47:26 | Метео-New | Нет данных
3:48:26 | Метео-New | Нет данных
3:49:26 | Метео-New | Нет данных
3:50:26 | Метео-New | Нет данных
3:51:26 | Метео-New | Нет данных
3:52:26 | Метео-New | Нет данных
3:53:26 | Метео-New | Нет данных
3:54:26 | Метео-New | Нет данных
3:55:26 | Метео-New | Нет данных
3:56:26 | Метео-New | Нет данных
3:57:26 | Метео-New | Нет данных
3:58:26 | Метео-New | Нет данных
3:59:26 | Метео-New | Нет данных
4:00:26 | Метео-New | Нет данных
4:01:26 | Метео-New | Нет данных
4:02:26 | Метео-New | Нет данных
4:03:26 | Метео-New | Нет данных
4:04:26 | Метео-New | Нет данных
4:05:26 | Метео-New | Нет данных
4:06:26 | Метео-New | Нет данных
4:07:26 | Метео-New | Нет данных
4:08:26 | Метео-New | Нет данных
4:09:26 | Метео-New | Нет данных
4:10:26 | Метео-New | Нет данных
4:11:26 | Метео-New | Нет данных
4:12:26 | Метео-New | Нет данных
4:13:26 | Метео-New | Нет данных
4:14:26 | Метео-New | Нет данных
4:15:26 | Метео-New | Нет данных
4:16:26 | Метео-New | Нет данных
4:17:26 | Метео-New | Нет данных
4:18:26 | Метео-New | Нет данных
4:19:26 | Метео-New | Нет данных
4:20:26 | Метео-New | Нет данных
4:21:26 | Метео-New | Нет данных
4:22:26 | Метео-New | Нет данных
4:23:26 | Метео-New | Нет данных
4:24:26 | Метео-New | Нет данных
4:25:26 | Метео-New | Нет данных
4:26:26 | Метео-New | Нет данных
4:27:26 | Метео-New | Нет данных
4:28:26 | Метео-New | Нет данных
4:29:26 | Метео-New | Нет данных
4:30:26 | Метео-New | Нет данных
4:31:26 | Метео-New | Нет данных
4:32:26 | Метео-New | Нет данных
4:33:26 | Метео-New | Нет данных
4:34:26 | Метео-New | Нет данных
4:35:26 | Метео-New | Нет данных
4:36:26 | Метео-New | Нет данных
4:37:26 | Метео-New | Нет данных
4:38:26 | Метео-New | Нет данных
4:39:26 | Метео-New | Нет данных
4:40:26 | Метео-New | Нет данных
4:41:26 | Метео-New | Нет данных
4:42:26 | Метео-New | Нет данных
4:43:26 | Метео-New | Нет данных
4:44:26 | Метео-New | Нет данных
4:45:26 | Метео-New | Нет данных
4:46:26 | Метео-New | Нет данных
4:47:26 | Метео-New | Нет данных
4:48:26 | Метео-New | Нет данных
4:49:26 | Метео-New | Нет данных
4:50:26 | Метео-New | Нет данных
4:51:26 | Метео-New | Нет данных
4:52:26 | Метео-New | Нет данных
4:53:26 | Метео-New | Нет данных
4:54:26 | Метео-New | Нет данных
4:55:26 | Метео-New | Нет данных
4:56:26 | Метео-New | Нет данных
4:57:26 | Метео-New | Нет данных
4:58:26 | Метео-New | Нет данных
4:59:26 | Метео-New | Нет данных
5:00:26 | Метео-New | Нет данных
5:01:26 | Метео-New | Нет данных
5:02:26 | Метео-New | Нет данных
5:03:26 | Метео-New | Нет данных
5:04:26 | Метео-New | Нет данных
5:05:26 | Метео-New | Нет данных
5:06:26 | Метео-New | Нет данных
5:07:26 | Метео-New | Нет данных
5:08:26 | Метео-New | Нет данных
5:09:26 | Метео-New | Нет данных
5:10:26 | Метео-New | Нет данных
5:11:26 | Метео-New | Нет данных
5:12:26 | Метео-New | Нет данных
5:13:26 | Метео-New | Нет данных
5:14:26 | Метео-New | Нет данных
5:15:26 | Метео-New | Нет данных
5:16:26 | Метео-New | Нет данных
5:17:26 | Метео-New | Нет данных
5:18:26 | Метео-New | Нет данных
5:19:26 | Метео-New | Нет данных
5:20:26 | Метео-New | Нет данных
5:21:26 | Метео-New | Нет данных
5:22:26 | Метео-New | Нет данных
5:23:26 | Метео-New | Нет данных
5:24:26 | Метео-New | Нет данных
5:25:26 | Метео-New | Нет данных
5:26:26 | Метео-New | Нет данных
5:27:26 | Метео-New | Нет данных
5:28:26 | Метео-New | Нет данных
5:29:26 | Метео-New | Нет данных
5:30:26 | Метео-New | Нет данных
5:31:26 | Метео-New | Нет данных
5:32:26 | Метео-New | Нет данных
5:33:26 | Метео-New | Нет данных
5:34:26 | Метео-New | Нет данных
5:35:26 | Метео-New | Нет данных
5:36:26 | Метео-New | Нет данных
5:37:26 | Метео-New | Нет данных
5:38:26 | Метео-New | Нет данных
5:39:26 | Метео-New | Нет данных
5:40:26 | Метео-New | Нет данных
5:41:26 | Метео-New | Нет данных
5:42:26 | Метео-New | Нет данных
5:43:26 | Метео-New | Нет данных
5:44:26 | Метео-New | Нет данных
5:45:26 | Метео-New | Нет данных
5:46:26 | Метео-New | Нет данных
5:47:26 | Метео-New | Нет данных
5:48:26 | Метео-New | Нет данных
5:49:26 | Метео-New | Нет данных
5:50:26 | Метео-New | Нет данных
5:51:26 | Метео-New | Нет данных
5:52:26 | Метео-New | Нет данных
5:53:26 | Метео-New | Нет данных
5:54:26 | Метео-New | Нет данных
5:55:26 | Метео-New | Нет данных
5:56:26 | Метео-New | Нет данных
5:57:26 | Метео-New | Нет данных
5:58:26 | Метео-New | Нет данных
5:59:26 | Метео-New | Нет данных
6:00:26 | Метео-New | Нет данных
6:01:26 | Метео-New | Нет данных
6:02:26 | Метео-New | Нет данных
6:03:26 | Метео-New | Нет данных
6:04:26 | Метео-New | Нет данных
6:05:26 | Метео-New | Нет данных
6:06:26 | Метео-New | Нет данных
6:07:26 | Метео-New | Нет данных
6:08:26 | Метео-New | Нет данных
6:09:26 | Метео-New | Нет данных
6:10:26 | Метео-New | Нет данных
6:11:26 | Метео-New | Нет данных
6:12:26 | Метео-New | Нет данных
6:13:26 | Метео-New | Нет данных
6:14:26 | Метео-New | Нет данных
6:15:26 | Метео-New | Нет данных
6:16:26 | Метео-New | Нет данных
6:17:26 | Метео-New | Нет данных
6:18:26 | Метео-New | Нет данных
6:19:26 | Метео-New | Нет данных
6:20:26 | Метео-New | Нет данных
6:21:26 | Метео-New | Нет данных
6:22:26 | Метео-New | Нет данных
6:23:26 | Метео-New | Нет данных
6:24:26 | Метео-New | Нет данных
6:25:26 | Метео-New | Нет данных
6:26:26 | Метео-New | Нет данных
6:27:26 | Метео-New | Нет данных
6:28:26 | Метео-New | Нет данных
6:29:26 | Метео-New | Нет данных
6:30:26 | Метео-New | Нет данных
6:31:26 | Метео-New | Нет данных
6:32:26 | Метео-New | Нет данных
6:33:26 | Метео-New | Нет данных
6:34:26 | Метео-New | Нет данных
6:35:26 | Метео-New | Нет данных
6:36:26 | Метео-New | Нет данных
6:37:26 | Метео-New | Нет данных
6:38:26 | Метео-New | Нет данных
6:39:26 | Метео-New | Нет данных
6:40:26 | Метео-New | Нет данных
6:41:26 | Метео-New | Нет данных
6:42:26 | Метео-New | Нет данных
6:43:26 | Метео-New | Нет данных
6:44:26 | Метео-New | Нет данных
6:45:26 | Метео-New | Нет данных
6:46:26 | Метео-New | Нет данных
6:47:26 | Метео-New | Нет данных
6:48:26 | Метео-New | Нет данных
6:49:26 | Метео-New | Нет данных
6:50:26 | Метео-New | Нет данных
6:51:26 | Метео-New | Нет данных
6:52:26 | Метео-New | Нет данных
6:53:26 | Метео-New | Нет данных
6:54:26 | Метео-New | Нет данных
6:55:26 | Метео-New | Нет данных
6:56:26 | Метео-New | Нет данных
6:57:26 | Метео-New | Нет данных
6:58:26 | Метео-New | Нет данных
6:59:26 | Метео-New | Нет данных
7:00:26 | Метео-New | Нет данных
7:01:26 | Метео-New | Нет данных
7:02:26 | Метео-New | Нет данных
7:03:26 | Метео-New | Нет данных
7:04:26 | Метео-New | Нет данных
7:05:26 | Метео-New | Нет данных
7:06:26 | Метео-New | Нет данных
7:07:26 | Метео-New | Нет данных
7:08:26 | Метео-New | Нет данных
7:09:26 | Метео-New | Нет данных
7:10:26 | Метео-New | Нет данных
7:11:26 | Метео-New | Нет данных
7:12:26 | Метео-New | Нет данных
7:13:26 | Метео-New | Нет данных
7:14:26 | Метео-New | Нет данных
7:15:26 | Метео-New | Нет данных
7:16:26 | Метео-New | Нет данных
7:17:26 | Метео-New | Нет данных
7:18:26 | Метео-New | Нет данных
7:19:26 | Метео-New | Нет данных
7:20:26 | Метео-New | Нет данных
7:21:26 | Метео-New | Нет данных
7:22:26 | Метео-New | Нет данных
7:23:26 | Метео-New | Нет данных
7:24:26 | Метео-New | Нет данных
7:25:26 | Метео-New | Нет данных
7:26:26 | Метео-New | Нет данных
7:27:26 | Метео-New | Нет данных
7:28:26 | Метео-New | Нет данных
7:29:26 | Метео-New | Нет данных
7:30:26 | Метео-New | Нет данных
7:31:26 | Метео-New | Нет данных
7:32:26 | Метео-New | Нет данных
7:33:26 | Метео-New | Нет данных
7:34:26 | Метео-New | Нет данных
7:35:26 | Метео-New | Нет данных
7:36:26 | Метео-New | Нет данных
7:37:26 | Метео-New | Нет данных
7:38:26 | Метео-New | Нет данных
7:39:26 | Метео-New | Нет данных
7:40:26 | Метео-New | Нет данных
7:41:26 | Метео-New | Нет данных
7:42:26 | Метео-New | Нет данных
7:43:26 | Метео-New | Нет данных
7:44:26 | Метео-New | Нет данных
7:45:26 | Метео-New | Нет данных
7:46:26 | Метео-New | Нет данных
7:47:26 | Метео-New | Нет данных
7:48:26 | Метео-New | Нет данных
7:49:26 | Метео-New | Нет данных
7:50:26 | Метео-New | Нет данных
7:51:26 | Метео-New | Нет данных
7:52:26 | Метео-New | Нет данных
7:53:26 | Метео-New | Нет данных
7:54:26 | Метео-New | Нет данных
7:55:26 | Метео-New | Нет данных
7:56:26 | Метео-New | Нет данных
7:57:26 | Метео-New | Нет данных
7:58:26 | Метео-New | Нет данных
7:59:26 | Метео-New | Нет данных
8:00:26 | Метео-New | Нет данных
8:01:26 | Метео-New | Нет данных
8:02:26 | Метео-New | Нет данных
8:03:26 | Метео-New | Нет данных
8:04:26 | Метео-New | Нет данных
8:05:26 | Метео-New | Нет данных
8:06:26 | Метео-New | Нет данных
8:07:26 | Метео-New | Нет данных
8:08:26 | Метео-New | Нет данных
8:09:26 | Метео-New | Нет данных
8:10:26 | Метео-New | Нет данных
8:11:26 | Метео-New | Нет данных
8:12:26 | Метео-New | Нет данных
8:13:26 | Метео-New | Нет данных
8:14:26 | Метео-New | Нет данных
8:15:26 | Метео-New | Нет данных
8:16:26 | Метео-New | Нет данных
8:17:26 | Метео-New | Нет данных
8:18:26 | Метео-New | Нет данных
8:19:26 | Метео-New | Нет данных
8:20:26 | Метео-New | Нет данных
8:21:26 | Метео-New | Нет данных
8:22:26 | Метео-New | Нет данных
8:23:26 | Метео-New | Нет данных
8:24:26 | Метео-New | Нет данных
8:25:26 | Метео-New | Нет данных
8:26:26 | Метео-New | Нет данных
8:27:26 | Метео-New | Нет данных
8:28:26 | Метео-New | Нет данных
8:29:26 | Метео-New | Нет данных
8:30:26 | Метео-New | Нет данных
8:31:26 | Метео-New | Нет данных
8:32:26 | Метео-New | Нет данных
8:33:26 | Метео-New | Нет данных
8:34:26 | Метео-New | Нет данных
8:35:26 | Метео-New | Нет данных
8:36:26 | Метео-New | Нет данных
8:37:26 | Метео-New | Нет данных
8:38:26 | Метео-New | Нет данных
8:39:26 | Метео-New | Нет данных
8:40:26 | Метео-New | Нет данных
8:41:26 | Метео-New | Нет данных
8:42:26 | Метео-New | Нет данных
8:43:26 | Метео-New | Нет данных
8:44:26 | Метео-New | Нет данных
8:45:26 | Метео-New | Нет данных
8:46:26 | Метео-New | Нет данных
8:47:26 | Метео-New | Нет данных
8:48:26 | Метео-New | Нет данных
8:49:26 | Метео-New | Нет данных
8:50:26 | Метео-New | Нет данных
8:51:26 | Метео-New | Нет данных
8:52:26 | Метео-New | Нет данных
8:53:26 | Метео-New | Нет данных
8:54:26 | Метео-New | Нет данных
8:55:26 | Метео-New | Нет данных
8:56:26 | Метео-New | Нет данных
8:57:26 | Метео-New | Нет данных
8:58:26 | Метео-New | Нет данных
8:59:26 | Метео-New | Нет данных
9:00:26 | Метео-New | Нет данных
9:01:26 | Метео-New | Нет данных
9:02:26 | Метео-New | Нет данных
9:03:26 | Метео-New | Нет данных
9:04:26 | Метео-New | Нет данных
9:05:26 | Метео-New | Нет данных
9:06:26 | Метео-New | Нет данных
9:07:26 | Метео-New | Нет данных
9:08:26 | Метео-New | Нет данных
9:09:26 | Метео-New | Нет данных
9:10:26 | Метео-New | Нет данных
9:11:26 | Метео-New | Нет данных
9:12:26 | Метео-New | Нет данных
9:13:26 | Метео-New | Нет данных
9:14:26 | Метео-New | Нет данных
9:14:33 | MAX-FITO | Закрыт
9:56:04 | MAX-FITO | Стартовал
9:56:07 | Метео-New | Нет данных
9:57:07 | Метео-New | Нет данных
9:57:30 | MAX-FITO | Закрыт
9:59:09 | MAX-FITO | Стартовал
9:59:13 | Метео-New | Нет данных
10:00:13 | Метео-New | Нет данных
10:00:51 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Попытка установить соединение была безуспешной, т.к. от другого компьютера за требуемое время не получен нужный отклик, или было разорвано уже установленное соединение из-за неверного отклика уже подключенного компьютера
10:00:51 | Микроклимат 501 3 | Нет приема данных
10:01:13 | Метео-New | Нет данных
10:01:51 | Микроклимат 501 3 | Нет приема данных
10:02:13 | Метео-New | Нет данных
10:02:51 | Микроклимат 501 3 | Нет приема данных
10:03:06 | MAX-FITO | Закрыт
10:17:38 | MAX-FITO | Стартовал
10:17:42 | Метео-New | Нет данных
10:18:33 | MAX-FITO | Закрыт
10:25:31 | MAX-FITO | Стартовал
10:25:35 | Метео-New | Нет данных
10:26:35 | Метео-New | Нет данных
10:27:13 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Попытка установить соединение была безуспешной, т.к. от другого компьютера за требуемое время не получен нужный отклик, или было разорвано уже установленное соединение из-за неверного отклика уже подключенного компьютера
10:27:13 | Микроклимат 501 3 | Нет приема данных
10:27:31 | Микроклимат 501 3 | Управляет
10:27:35 | Метео-New | Нет данных
10:27:59 | MAX-FITO | Закрыт
10:59:15 | MAX-FITO | Стартовал
10:59:18 | Метео-New | Нет данных
11:00:15 | Микроклимат 501 3 | Зона 1 Температура воздуха 1 (Т1)-Отказ датчика
11:00:15 | Микроклимат 501 3 | Зона 1 Относит влажность воздуха-Отказ датчика
11:00:15 | Микроклимат 501 3 | Зона 2 Относит влажность воздуха-Отказ датчика
11:00:15 | Микроклимат 501 3 | Зона 3 Относит влажность воздуха-Отказ датчика
11:00:15 | Микроклимат 501 3 | Управляет
11:00:18 | Метео-New | Нет данных
11:01:15 | Микроклимат 501 3 | Зона 1 Температура воздуха 1 (Т1)-Отказ датчика
11:01:15 | Микроклимат 501 3 | Зона 1 Относит влажность воздуха-Отказ датчика
11:01:15 | Микроклимат 501 3 | Зона 2 Относит влажность воздуха-Отказ датчика
11:01:15 | Микроклимат 501 3 | Зона 3 Относит влажность воздуха-Отказ датчика
11:01:18 | Метео-New | Нет данных
11:02:15 | Микроклимат 501 3 | Зона 1 Температура воздуха 1 (Т1)-Отказ датчика
11:02:15 | Микроклимат 501 3 | Зона 1 Относит влажность воздуха-Отказ датчика
11:02:15 | Микроклимат 501 3 | Зона 2 Относит влажность воздуха-Отказ датчика
11:02:15 | Микроклимат 501 3 | Зона 3 Относит влажность воздуха-Отказ датчика
11:02:18 | Метео-New | Нет данных
11:03:15 | Микроклимат 501 3 | Зона 1 Температура воздуха 1 (Т1)-Отказ датчика
11:03:15 | Микроклимат 501 3 | Зона 1 Относит влажность воздуха-Отказ датчика
11:03:15 | Микроклимат 501 3 | Зона 2 Относит влажность воздуха-Отказ датчика
11:03:15 | Микроклимат 501 3 | Зона 3 Относит влажность воздуха-Отказ датчика
11:03:18 | Метео-New | Нет данных
11:04:12 | MAX-FITO | Закрыт
11:08:34 | MAX-FITO | Стартовал
11:08:37 | Метео-New | Нет данных
11:09:37 | Метео-New | Нет данных
11:10:16 | Микроклимат 501 3 | Состояние климата - 192.168.1.244:2012-Обменов2 Попытка установить соединение была безуспешной, т.к. от другого компьютера за требуемое время не получен нужный отклик, или было разорвано уже установленное соединение из-за неверного отклика уже подключенного компьютера
11:10:16 | Микроклимат 501 3 | Нет приема данных
11:10:37 | Метео-New | Нет данных
11:11:15 | Микроклимат 501 3 | Нет приема данных
11:11:37 | Метео-New | Нет данных
11:12:15 | Микроклимат 501 3 | Нет приема данных
11:12:37 | Метео-New | Нет данных
11:13:15 | Микроклимат 501 3 | Нет приема данных
11:13:37 | Метео-New | Нет данных
11:13:51 | MAX-FITO | Закрыт
11:29:05 | MAX-FITO | Стартовал
11:29:08 | Метео-New | Нет данных
11:30:05 | Микроклимат 501 3 | Зона 1 Температура воздуха 1 (Т1)-Отказ датчика
11:30:05 | Микроклимат 501 3 | Зона 1 Относит влажность воздуха-Отказ датчика
11:30:05 | Микроклимат 501 3 | Зона 2 Относит влажность воздуха-Отказ датчика
11:30:05 | Микроклимат 501 3 | Зона 3 Относит влажность воздуха-Отказ датчика
11:30:05 | Микроклимат 501 3 | Управляет
11:30:09 | Метео-New | Нет данных
11:31:05 | Микроклимат 501 3 | Зона 1 Температура воздуха 1 (Т1)-Отказ датчика
11:31:05 | Микроклимат 501 3 | Зона 1 Относит влажность воздуха-Отказ датчика
11:31:05 | Микроклимат 501 3 | Зона 2 Относит влажность воздуха-Отказ датчика
11:31:05 | Микроклимат 501 3 | Зона 3 Относит влажность воздуха-Отказ датчика
11:31:09 | Метео-New | Нет данных
11:32:05 | Микроклимат 501 3 | Зона 1 Температура воздуха 1 (Т1)-Отказ датчика
11:32:05 | Микроклимат 501 3 | Зона 1 Относит влажность воздуха-Отказ датчика
11:32:05 | Микроклимат 501 3 | Зона 2 Относит влажность воздуха-Отказ датчика
11:32:05 | Микроклимат 501 3 | Зона 3 Относит влажность воздуха-Отказ датчика
11:32:09 | Метео-New | Нет данных
11:33:05 | Микроклимат 501 3 | Зона 1 Температура воздуха 1 (Т1)-Отказ датчика
11:33:05 | Микроклимат 501 3 | Зона 1 Относит влажность воздуха-Отказ датчика
11:33:05 | Микроклимат 501 3 | Зона 2 Относит влажность воздуха-Отказ датчика
11:33:05 | Микроклимат 501 3 | Зона 3 Относит влажность воздуха-Отказ датчика
11:33:09 | Метео-New | Нет данных
11:34:05 | Микроклимат 501 3 | Зона 1 Температура воздуха 1 (Т1)-Отказ датчика
11:34:05 | Микроклимат 501 3 | Зона 1 Относит влажность воздуха-Отказ датчика
11:34:05 | Микроклимат 501 3 | Зона 2 Относит влажность воздуха-Отказ датчика
11:34:05 | Микроклимат 501 3 | Зона 3 Относит влажность воздуха-Отказ датчика
11:34:09 | Метео-New | Нет данных
11:34:10 | MAX-FITO | Закрыт
11:42:27 | MAX-FITO | Стартовал
11:42:31 | Метео-New | Нет данных
11:43:27 | Микроклимат 501 3 | Зона 1 Температура воздуха 1 (Т1)-Отказ датчика
11:43:27 | Микроклимат 501 3 | Зона 1 Относит влажность воздуха-Отказ датчика
11:43:28 | Микроклимат 501 3 | Зона 2 Относит влажность воздуха-Отказ датчика
11:43:28 | Микроклимат 501 3 | Зона 3 Относит влажность воздуха-Отказ датчика
11:43:28 | Микроклимат 501 3 | Управляет
11:43:31 | Метео-New | Нет данных
11:44:28 | Микроклимат 501 3 | Зона 1 Температура воздуха 1 (Т1)-Отказ датчика
11:44:28 | Микроклимат 501 3 | Зона 1 Относит влажность воздуха-Отказ датчика
11:44:28 | Микроклимат 501 3 | Зона 2 Относит влажность воздуха-Отказ датчика
11:44:28 | Микроклимат 501 3 | Зона 3 Относит влажность воздуха-Отказ датчика
11:44:31 | Метео-New | Нет данных
11:45:31 | Метео-New | Нет данных
11:45:33 | Микроклимат 501 3 | Зона 1 Температура воздуха 1 (Т1)-Отказ датчика
11:45:33 | Микроклимат 501 3 | Зона 1 Относит влажность воздуха-Отказ датчика
11:45:33 | Микроклимат 501 3 | Зона 2 Относит влажность воздуха-Отказ датчика
11:45:33 | Микроклимат 501 3 | Зона 3 Относит влажность воздуха-Отказ датчика
11:46:27 | Микроклимат 501 3 | Зона 1 Температура воздуха 1 (Т1)-Отказ датчика
11:46:27 | Микроклимат 501 3 | Зона 1 Относит влажность воздуха-Отказ датчика
11:46:28 | Микроклимат 501 3 | Зона 2 Относит влажность воздуха-Отказ датчика
11:46:28 | Микроклимат 501 3 | Зона 3 Относит влажность воздуха-Отказ датчика
11:46:31 | Метео-New | Нет данных
11:47:27 | Микроклимат 501 3 | Зона 1 Температура воздуха 1 (Т1)-Отказ датчика
11:47:27 | Микроклимат 501 3 | Зона 1 Относит влажность воздуха-Отказ датчика
